popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
63,0.069,0.48,163453,0.969,0.00022,0.0608,-7.464,0.0854,142.489,0.494
63,0.000393,0.272,262133,0.747,4.03e-05,0.16,-4.86,0.0401,202.777,0.255
57,0.732,0.48,-1,0.298,0.00295,0.1,-13.477,0.0356,128.022,0.0556
54,0.0074,0.666,220462,0.573,0.000233,0.116,-8.369,0.0361,96.982,0.438
62,0.000198,0.39,177048,0.91,0.0,0.156,-3.268,0.133,162.253,0.644
53,0.0541,0.651,269613,0.875,0.00984,0.0254,-4.349,0.0409,92.022,0.83
66,0.00941,0.553,208280,0.837,0.0,0.372,-5.608,0.0452,140.495,0.432
54,0.174,0.568,213600,0.714,0.0,0.0429,-7.139,0.0445,146.338,0.955
71,0.0272,0.577,168613,0.939,0.0,0.24,-1.352,0.108,105.092,0.714
63,5.91e-06,0.382,298253,0.867,0.581,0.196,-7.426,0.0399,87.309,0.453
57,0.735,0.717,146400,0.373,0.0,0.303,-7.185,0.061,138.513,0.538
57,0.913,0.356,179107,0.26,2.1e-06,0.105,-10.577,0.0314,144.184,0.49
57,0.0424,0.629,244360,0.69,0.0,0.363,-4.894,0.0357,102.036,0.307
63,0.269,0.45,297320,0.356,0.515,0.0944,-13.692,0.0337,179.937,0.0839
72,0.198,0.58,206360,0.498,0.0,0.132,-6.901,0.0277,116.271,0.111
61,0.314,0.687,204333,0.648,1.37e-06,0.289,-9.137,0.027,121.341,0.6
67,0.344,0.489,176147,0.637,0.0,0.176,-5.014,0.0402,170.157,0.345
58,0.00144,0.627,194533,0.63,0.19,0.337,-12.33,0.0403,125.154,0.323
52,0.0271,0.691,222000,0.754,0.0719,0.881,-8.136,0.0372,144.085,0.924
54,0.0489,0.332,214106,0.731,0.00347,0.178,-4.565,0.0446,90.028,0.636
63,7.53e-06,0.559,213920,0.871,0.00524,0.096,-5.338,0.0392,104.976,0.573
53,0.000242,0.346,185524,0.75,0.0119,0.271,-6.619,0.103,165.036,0.667
53,0.744,0.257,233901,0.452,0.0996,0.38,-12.365,0.0349,119.9529606,0.271
49,0.00591,0.356,193213,0.837,2.83e-05,0.0635,-4.166,0.0721,131.668,0.54
66,0.00187,0.552,299733,0.645,1.38e-06,0.0424,-6.595,0.0268,89.518,0.588
72,0.909,0.643,250907,0.344,0.0112,0.106,-11.342,0.0349,144.171,0.547
51,0.00287,0.676,286933,0.687,0.000446,0.274,-7.792,0.0234,100.06,0.403
61,0.426,0.702,236973,0.901,0.00153,0.0368,-4.45,0.0264,97.862,0.919
67,0.05,0.813,242200,0.977,2.75e-05,0.147,-6.078,0.0476,114.316,0.842
54,0.0173,0.575,246333,0.591,0.0,0.173,-5.916,0.028,107.967,0.332
54,0.0887,0.626,260853,0.691,9.63e-05,0.115,-5.873,0.0283,109.005,0.396
70,0.000242,0.606,193000,0.887,0.0,0.337,-4.404,0.0598,119.974,0.903
69,0.00468,0.499,134200,0.873,0.0,0.165,-3.902,0.0386,142.726,0.864
64,0.00165,0.519,239333,0.78,2.14e-05,0.156,-4.939,0.0356,145.125,0.166
58,0.595,0.503,165613,0.772,2.47e-06,0.199,-6.205,0.0322,79.462,0.935
59,0.104,0.595,234427,0.792,3.29e-06,0.171,-5.426,0.0297,119.531,0.611
51,0.491,0.617,141091,0.656,7.84e-06,0.0796,-8.023,0.304,84.712,0.475
77,0.193,0.477,-1,0.471,1.76e-06,0.131,-10.036,0.0277,81.204,0.423
79,0.296,0.623,191360,0.417,0.0,0.135,-8.699,0.0354,130.032,0.721
49,0.0946,0.419,281000,0.748,0.000174,0.0916,-8.142,0.0521,85.02,0.417
59,0.122,0.593,218853,0.601,5.69e-06,0.181,-5.996,0.029,119.9529606,0.531
57,0.00864,0.509,238200,0.935,1.17e-06,0.255,-3.633,0.0493,148.062,0.501
62,0.027,0.521,192333,0.901,0.0651,0.108,-5.518,0.067,131.182,0.817
55,0.271,0.421,263253,0.633,0.0,0.113,-6.837,0.0433,155.715,0.161
57,0.968,0.573,115827,0.235,0.0198,0.105,-16.982,0.0426,79.578,0.834
76,0.386,0.49,145747,0.715,0.0,0.311,-5.549,0.0476,130.726,0.866
60,0.0141,0.441,270800,0.563,3.69e-06,0.101,-7.274,0.0251,85.711,0.209
63,0.407,0.759,220893,0.779,0.061,0.159,-9.375,0.0347,128.211,0.918
56,0.0116,0.507,-1,0.666,0.343,0.129,-8.362,0.029,77.979,0.185
70,0.00568,0.441,-1,0.762,3.31e-05,0.0865,-3.857,0.0438,167.964,0.743
62,0.0234,0.628,210653,0.797,3.57e-06,0.112,-6.103,0.0371,119.9529606,0.497
73,0.506,0.744,328293,0.545,0.0977,0.0649,-9.361,0.0297,97.409,0.346
59,0.0185,0.656,248960,0.721,0.0,0.0478,-5.675,0.0322,93.947,0.472
53,0.903,0.637,214240,0.129,0.0,0.107,-11.89,0.0405,139.742,0.368
56,0.0238,0.655,313533,0.694,0.0,0.0344,-5.184,0.0326,96.458,0.431
58,0.00192,0.49,205040,0.699,6.45e-06,0.111,-5.55,0.0289,85.955,0.364
54,0.0487,0.565,234040,0.615,1.93e-06,0.16,-10.793,0.0384,143.928,0.591
53,0.0133,0.229,215653,0.871,2.18e-06,0.266,-4.558,0.103,86.965,0.395
53,0.0157,0.663,212613,0.777,0.00829,0.0755,-5.496,0.0375,143.003,0.94
55,0.479,0.345,259741,0.461,0.0184,0.0993,-12.063,0.0645,96.346,0.171
52,0.000347,0.39,272074,0.828,0.144,0.128,-5.453,0.0284,81.861,0.554
56,0.0984,0.396,197320,0.671,0.0,0.0844,-6.953,0.0351,119.9529606,0.257
62,0.453,0.508,213267,0.493,0.0,0.241,-8.786,0.0327,127.671,0.467
56,0.92,0.551,260840,0.289,0.00011,0.124,-9.83,0.0268,108.098,0.432
64,0.298,0.541,160080,0.608,0.0,0.234,-13.083,0.106,171.992,0.938
60,0.316,0.68,-1,0.701,4.72e-06,0.111,-10.36,0.036,108.287,0.933
71,0.538,0.404,148053,0.43,0.0,0.0802,-12.327,0.224,180.061,0.641
66,0.0238,0.63,189227,0.908,0.592,0.116,-2.42,0.0326,120.522,0.968
67,0.338,0.633,-1,0.559,0.0,0.262,-5.135,0.313,114.983,0.473
64,0.79,0.727,133507,0.338,0.0,0.105,-13.887,0.0454,122.421,0.646
60,0.224,0.645,217156,0.557,0.0,0.374,-5.883,0.0329,100.026,0.461
64,0.039,0.824,249533,0.366,0.106,0.0403,-10.96,0.145,73.949,0.895
57,0.0993,0.439,258160,0.591,0.00225,0.0718,-6.407,0.0419,125.893,0.397
71,0.0311,0.654,211960,0.726,6.35e-05,0.0618,-3.803,0.0401,103.987,0.728
53,0.634,0.608,168027,0.178,0.352,0.166,-17.109,0.0264,84.78,0.401
74,0.6,0.334,336093,0.472,3.77e-06,0.317,-8.792,0.0277,179.167,0.431
54,0.0219,0.597,218400,0.812,0.00106,0.102,-12.062,0.0315,135.68,0.823
58,0.000957,0.445,192533,0.909,3.51e-05,0.378,-4.109,0.134,94.025,0.297
52,0.656,0.42,351678,0.662,0.000423,0.096,-9.828,0.0341,147.949,0.378
53,0.392,0.373,331173,0.571,0.0476,0.126,-9.186,0.0334,161.874,0.656
56,0.0832,0.392,268467,0.835,0.00982,0.0769,-6.553,0.0596,144.641,0.12
64,0.17,0.505,-1,0.837,0.0,0.113,-5.146,0.0358,140.066,0.623
54,0.655,0.699,252067,0.197,0.0,0.0716,-14.792,0.0383,122.871,0.361
68,0.000406,0.487,160886,0.888,0.00104,0.405,-4.736,0.0887,137.939,0.563
57,0.142,0.405,338240,0.756,4.03e-05,0.638,-6.361,0.0307,119.9529606,0.606
71,0.0314,0.559,205933,0.882,1.71e-05,0.605,-4.281,0.157,126.064,0.634
62,0.0198,0.6,277533,0.912,6.52e-05,0.0883,-3.449,0.0724,110.339,0.506
57,0.175,0.541,174573,0.662,0.0,0.0803,-7.196,0.0382,144.046,0.742
58,0.161,0.416,211487,0.53,1.34e-06,0.108,-8.182,0.0255,102.029,0.379
62,0.0129,0.595,341533,0.804,1.97e-05,0.299,-7.911,0.0326,89.846,0.586
64,0.25,0.546,178147,0.631,0.0,0.123,-5.757,0.0283,129.556,0.569
64,0.0263,0.54,188333,0.78,7.12e-06,0.35,-5.872,0.0418,144.011,0.514
57,0.103,0.279,496573,0.472,0.874,0.063,-16.42,0.0295,115.13,0.135
55,0.131,0.567,290827,0.569,0.011,0.0714,-11.963,0.0335,109.293,0.75
54,0.0145,0.528,209206,0.875,0.0,0.138,-5.912,0.0436,136.83,0.479
59,0.133,0.445,226827,0.771,0.0,0.273,-4.607,0.0501,147.913,0.448
60,0.082,0.803,247160,0.718,0.000881,0.079,-6.457,0.0357,115.017,0.933
58,0.522,0.48,224947,0.5,0.0,0.193,-6.202,0.028,149.957,0.41
59,0.00286,0.391,250627,0.557,0.0,0.209,-4.47,0.0291,145.861,0.142
64,0.664,0.403,212640,0.45,7.57e-06,0.0946,-6.314,0.0297,147.694,0.116
63,0.763,0.784,200147,0.459,1.28e-06,0.0684,-10.446,0.0304,106.957,0.931
61,0.000484,0.348,187907,0.893,6.36e-05,0.281,-4.589,0.0662,148.043,0.392
61,5.87e-05,0.248,311200,0.988,0.84,0.323,-3.74,0.144,119.9529606,0.149
51,0.00925,0.6,201280,0.9,0.293,0.269,-8.434,0.0457,119.9529606,0.918
67,0.0609,0.648,242035,0.75,4.41e-06,0.104,-3.248,0.0335,105.03,0.556
47,0.52,0.561,184632,0.715,0.0,0.119,-6.344,0.0417,153.956,0.453
55,0.287,0.677,237388,0.45,0.00185,0.0992,-9.352,0.0325,119.912,0.432
53,0.258,0.492,202032,0.724,0.162,0.255,-6.79,0.0332,84.237,0.323
61,0.21,0.494,180320,0.47,0.0,0.28,-9.599,0.0301,103.477,0.698
50,0.0722,0.557,183787,0.901,0.00311,0.14,-6.311,0.038,93.98,0.357
60,0.27,0.546,196907,0.838,1.24e-05,0.0841,-3.51,0.0319,151.914,0.719
58,0.267,0.406,320010,0.351,0.000893,0.0967,-7.871,0.0311,118.633,0.246
48,0.00104,0.507,182987,0.959,0.0,0.147,-4.763,0.118,165.136,0.436
70,0.748,0.401,-1,0.527,0.00305,0.359,-15.632,0.0615,133.749,0.208
54,0.0523,0.694,215307,0.951,0.00338,0.293,-5.4,0.0784,120.014,0.74
75,0.0626,0.36,264067,0.505,9.22e-05,0.172,-9.129,0.026,74.807,0.317
56,0.0193,0.614,323600,0.677,0.518,0.108,-8.317,0.0323,126.477,0.717
70,0.272,0.47,-1,0.809,0.00671,0.0491,-6.74,0.0495,151.836,0.49
61,0.836,0.33,187040,0.214,0.0701,0.178,-17.699,0.0311,147.795,0.275
62,0.448,0.504,-1,0.501,0.0,0.19,-11.899,0.0385,94.961,0.731
55,0.266,0.707,221626,0.694,1.04e-06,0.283,-5.381,0.0329,115.993,0.518
65,0.195,0.606,172640,0.805,8.81e-06,0.109,-5.399,0.214,119.9529606,0.725
68,0.00107,0.46,-1,0.796,0.0,0.106,-4.501,0.0333,100.011,0.182
54,0.000314,0.503,177240,0.741,0.574,0.44,-5.672,0.0357,120.998,0.544
65,0.566,0.368,-1,0.575,0.0,0.116,-5.1,0.0443,197.639,0.294
54,0.0448,0.675,274253,0.527,2.65e-06,0.101,-9.501,0.0263,113.881,0.66
60,0.0553,0.568,246493,0.871,0.51,0.303,-3.453,0.0308,119.99,0.374
71,0.00876,0.533,170813,0.905,0.578,0.0698,-5.27,0.0754,108.9,0.486
51,0.0483,0.498,227400,0.68,0.0,0.169,-5.34,0.0332,160.043,0.695
53,0.973,0.107,345373,0.289,0.934,0.0812,-16.15,0.0337,77.787,0.0364
54,0.929,0.189,390328,0.195,0.807,0.0798,-19.454,0.0335,126.862,0.0389
65,0.0521,0.829,-1,0.844,0.00148,0.171,-4.329,0.0966,130.04,0.762
56,0.00227,0.56,218554,0.688,0.0,0.0596,-4.437,0.056,76.997,0.611
66,0.623,0.752,233280,0.543,0.0706,0.107,-9.483,0.0398,126.001,0.282
66,0.444,0.579,245640,0.605,0.000645,0.11,-6.686,0.0328,121.793,0.74
62,0.00906,0.508,225000,0.991,1.28e-05,0.316,-1.768,0.123,95.524,0.295
64,0.0766,0.397,327400,0.499,1.55e-06,0.111,-10.972,0.0685,171.067,0.367
61,0.00174,0.564,257347,0.941,6.42e-05,0.242,-4.787,0.051,112.008,0.542
64,0.0125,0.522,245960,0.923,0.017,0.0854,-4.56,0.0539,119.9529606,0.595
49,0.000821,0.343,217440,0.89,0.0,0.0912,-5.759,0.0655,100.061,0.525
54,0.503,0.22,419400,0.44,0.862,0.12,-9.456,0.0352,79.095,0.13
55,0.00394,0.507,207724,0.663,0.000189,0.13,-9.163,0.139,94.884,0.327
53,0.00824,0.502,211809,0.758,0.0,0.102,-5.035,0.0718,149.738,0.423
67,0.000932,0.513,258920,0.877,0.000163,0.136,-3.756,0.0292,145.919,0.389
51,0.151,0.766,291800,0.681,8.68e-05,0.266,-6.919,0.0565,141.94,0.853
56,0.654,0.529,-1,0.343,5.97e-05,0.121,-16.192,0.044,153.466,0.661
57,0.58,0.518,-1,0.417,0.0,0.0722,-13.268,0.0325,119.9529606,0.311
53,0.775,0.435,-1,0.384,0.92,0.119,-14.024,0.0289,159.092,0.171
53,0.00388,0.615,280347,0.889,0.0,0.0947,-2.539,0.0371,131.96,0.659
63,0.0915,0.546,205333,0.786,8.67e-05,0.168,-5.06,0.0401,126.003,0.679
68,0.083,0.503,-1,0.824,0.0,0.21,-4.039,0.0524,161.981,0.448
57,0.405,0.584,199036,0.74,4.15e-06,0.569,-6.313,0.242,62.916,0.33
68,0.0189,0.717,205000,0.796,8.94e-05,0.19,-3.677,0.0303,105.017,0.942
53,0.56,0.574,182267,0.563,9.39e-05,0.323,-8.543,0.0292,134.083,0.67
57,0.621,0.657,213958,0.49,0.81,0.106,-12.27,0.0393,119.9529606,0.53
54,0.454,0.385,130333,0.791,0.0,0.0755,-2.647,0.0949,194.638,0.764
53,0.00351,0.422,205427,0.953,1.03e-06,0.575,-5.927,0.123,152.009,0.2
55,0.0226,0.448,224550,0.55,0.205,0.0425,-7.427,0.026,81.814,0.709
53,0.000252,0.276,266027,0.883,0.462,0.0973,-5.625,0.0446,164.052,0.164
65,0.218,0.552,125827,0.742,0.0,0.339,-7.963,0.0454,138.591,0.751
65,0.096,0.643,248880,0.945,7.71e-06,0.495,-4.66,0.0779,120.723,0.526
51,0.0424,0.512,206067,0.552,0.00213,0.111,-9.499,0.0355,143.977,0.21
55,0.128,0.534,295467,0.663,3.63e-05,0.431,-5.48,0.0286,141.525,0.573
60,0.00792,0.306,287880,0.872,0.8,0.261,-7.313,0.05,167.946,0.648
52,0.615,0.404,-1,0.272,0.000907,0.13,-10.575,0.0445,126.18,0.119
53,0.174,0.676,265933,0.379,0.0072,0.0619,-19.42,0.031,115.237,0.818
61,0.0534,0.462,-1,0.628,0.00025,0.12,-5.659,0.0274,140.049,0.0981
65,0.492,0.761,189387,0.592,0.00626,0.61,-9.836,0.0586,123.095,0.332
59,0.00758,0.64,227013,0.469,0.000453,0.0711,-8.718,0.0412,90.001,0.305
54,0.864,0.736,182027,0.297,1.49e-05,0.0609,-9.648,0.0349,119.9529606,0.186
65,0.000631,0.246,212733,0.768,0.301,0.102,-7.48,0.0387,169.873,0.35
62,0.354,0.715,-1,0.775,0.0,0.144,-6.613,0.0433,106.013,0.803
65,2.87e-05,0.529,195653,0.92,0.00202,0.0582,-4.168,0.0649,111.132,0.438
56,0.000349,0.684,268760,0.906,0.55,0.103,-6.661,0.0775,101.46,0.555
50,0.0133,0.444,247373,0.609,0.0,0.0636,-11.19,0.0366,124.005,0.78
65,0.000719,0.506,-1,0.932,0.0594,0.174,-6.11,0.11,99.929,0.549
63,0.35,0.691,198907,0.336,0.000684,0.119,-10.843,0.0392,135.954,0.613
61,0.351,0.541,199490,0.483,0.4,0.111,-10.675,0.0514,80.73,0.641
57,6.68e-05,0.448,242995,0.974,0.000391,0.119,-2.919,0.12,137.96,0.224
51,0.27,0.648,248173,0.637,4.22e-06,0.0469,-10.138,0.0296,119.9529606,0.738
69,0.45,0.643,250107,0.809,1.22e-06,0.154,-3.275,0.028,112.677,0.499
66,0.0304,0.579,231840,0.727,1.99e-05,0.172,-4.872,0.0332,170.593,0.885
63,0.0285,0.599,180302,0.931,0.0,0.102,-3.662,0.0517,111.012,0.788
62,0.000456,0.519,190707,0.892,0.000525,0.572,-5.285,0.113,174.027,0.559
65,0.135,0.756,246893,0.415,0.0,0.144,-14.429,0.0555,96.99,0.68
48,0.00599,0.644,194107,0.913,0.602,0.311,-3.04,0.0316,100.014,0.574
55,0.0934,0.602,248000,0.493,0.00251,0.28,-17.899,0.0279,101.941,0.505
57,0.000126,0.626,188600,0.791,0.0219,0.439,-2.734,0.0721,133.204,0.433
68,0.021,0.424,254533,0.632,0.0117,0.0545,-7.243,0.0922,97.694,0.356
63,0.000841,0.65,225947,0.903,0.000351,0.122,-3.677,0.0314,121.896,0.409
54,0.141,0.535,224960,0.803,0.0,0.297,-4.116,0.0465,147.902,0.342
70,0.00018,0.546,207213,0.959,0.00144,0.0584,-4.664,0.082,127.831,0.416
61,0.159,0.674,217387,0.705,6.11e-06,0.106,-7.516,0.0259,95.99,0.635
53,0.0054,0.556,207040,0.702,0.0,0.218,-5.792,0.0423,132.33,0.452
62,0.727,0.73,163093,0.504,0.0,0.143,-11.686,0.0481,126.282,0.883
70,0.0823,0.791,214880,0.759,4.44e-05,0.0993,-5.67,0.037,124.725,0.917
58,0.00059,0.594,218720,0.858,3.11e-06,0.0642,-4.339,0.0387,138.021,0.663
56,0.375,0.677,255040,0.403,0.000269,0.0594,-9.457,0.0291,119.9529606,0.568
66,0.000821,0.389,189707,0.748,0.00058,0.358,-4.461,0.0805,119.9529606,0.216
53,0.000289,0.44,221459,0.74,0.000543,0.13,-6.422,0.0376,162.095,0.337
53,0.222,0.474,352907,0.382,0.0195,0.149,-13.291,0.0252,80.8,0.69
66,0.318,0.695,215853,0.731,0.0,0.143,-2.15,0.034,122.522,0.497
50,0.00127,0.41,183147,0.979,0.0125,0.355,-5.021,0.106,146.741,0.478
67,0.0014,0.476,202053,0.979,0.00729,0.0944,-3.506,0.132,140.404,0.416
51,0.337,0.563,211573,0.497,0.00273,0.162,-7.595,0.0351,169.977,0.561
55,0.459,0.657,210747,0.69,0.0,0.122,-6.866,0.0298,112.014,0.573
57,0.979,0.405,245040,0.152,9.07e-05,0.104,-13.901,0.0395,61.34,0.383
55,0.0674,0.432,-1,0.612,1.34e-06,0.111,-6.871,0.0285,89.995,0.113
68,0.12,0.665,169000,0.782,4.19e-06,0.125,-8.438,0.0307,137.453,0.731
75,0.0144,0.526,195200,0.862,0.0597,0.229,-6.003,0.0905,90.052,0.528
61,0.00987,0.678,268093,0.53,0.000274,0.0437,-8.515,0.024,91.779,0.678
62,0.0244,0.564,168094,0.668,1.15e-05,0.168,-6.578,0.0442,79.99,0.32
70,0.0354,0.526,193773,0.801,3.17e-06,0.0637,-3.717,0.0393,172.024,0.769
68,0.126,0.497,187896,0.914,1.98e-05,0.274,-4.308,0.0455,148.893,0.385
61,0.698,0.285,238076,0.371,0.00392,0.104,-6.833,0.0295,154.989,0.372
69,0.00197,0.352,-1,0.912,0.0,0.193,-4.253,0.0725,166.795,0.351
58,0.34,0.508,296427,0.638,3.2e-05,0.0769,-4.671,0.0278,119.9529606,0.484
53,0.0248,0.574,182320,0.701,3.12e-05,0.313,-6.038,0.0572,145.069,0.25
52,0.278,0.542,286440,0.924,0.000437,0.0825,-2.428,0.0829,82.666,0.686
62,0.0812,0.56,230800,0.798,1.54e-06,0.327,-6.672,0.0316,124.397,0.675
64,0.000163,0.408,196947,0.817,0.03,0.403,-4.59,0.0759,119.9529606,0.288
51,0.147,0.44,201076,0.649,0.0,0.105,-8.465,0.0925,187.783,0.405
56,0.158,0.66,158800,0.557,0.0,0.543,-9.597,0.03,110.743,0.788
77,0.167,0.491,189187,0.867,0.0,0.458,-2.313,0.103,167.965,0.602
68,0.465,0.195,269107,0.483,0.497,0.0686,-4.991,0.03,84.71,0.173
53,0.0355,0.327,207640,0.948,0.515,0.126,-4.355,0.0711,177.328,0.469
24,0.00633,0.606,186627,0.8,9.04e-06,0.506,-4.194,0.0271,130.006,0.691
56,0.00134,0.684,215880,0.992,0.0,0.878,-1.893,0.0748,133.963,0.757
55,0.0152,0.63,212600,0.691,0.0,0.303,-4.334,0.0312,93.014,0.261
58,0.049,0.477,-1,0.672,0.0,0.355,-5.234,0.0306,139.864,0.263
61,0.0725,0.641,-1,0.792,0.513,0.175,-6.453,0.0272,87.069,0.67
50,0.64,0.651,146240,0.712,6.09e-05,0.0738,-6.79,0.0429,82.961,0.804
80,0.00293,0.442,181533,0.943,8.71e-06,0.091,-3.205,0.0602,85.064,0.781
68,0.00265,0.553,173320,0.917,0.00991,0.07,-8.806,0.0906,101.798,0.781
63,0.000973,0.647,217493,0.71,0.703,0.0777,-4.692,0.029,110.059,0.268
52,0.0126,0.626,180720,0.805,0.0,0.156,-5.81,0.0449,116.03,0.882
63,0.0162,0.715,-1,0.656,0.000501,0.0882,-6.154,0.0259,126.01,0.423
61,0.00669,0.6,256467,0.614,0.0,0.166,-4.688,0.0885,121.965,0.341
66,0.173,0.68,190720,0.738,0.00036,0.37,-4.881,0.0331,105.015,0.675
53,0.000377,0.138,257520,0.691,0.786,0.0895,-7.976,0.0443,170.342,0.36
55,0.000197,0.656,345284,0.864,0.107,0.281,-7.895,0.0414,93.197,0.617
66,0.132,0.615,251333,0.582,3.81e-05,0.119,-10.323,0.0402,82.532,0.789
58,0.22,0.704,238267,0.528,0.35,0.14,-13.382,0.0358,117.472,0.73
72,0.0422,0.487,261280,0.382,4.74e-06,0.411,-10.889,0.0309,116.557,0.714
66,0.0383,0.668,231467,0.739,0.0,0.13,-4.919,0.0308,131.918,0.571
61,0.0824,0.571,226200,0.698,0.0037,0.279,-5.056,0.0353,119.9529606,0.61
54,0.181,0.799,252693,0.665,0.136,0.125,-6.31,0.0455,89.498,0.783
54,0.0263,0.314,309640,0.959,0.000148,0.161,-4.657,0.0908,154.221,0.492
57,0.00018,0.448,203307,0.927,0.00676,0.0822,-3.244,0.061,174.079,0.687
64,0.347,0.669,275507,0.707,0.000716,0.0997,-13.66,0.0478,124.335,0.806
63,0.788,0.688,165733,0.711,2.64e-05,0.0683,-10.453,0.0832,152.277,0.935
60,0.719,0.346,188184,0.637,2.03e-05,0.263,-4.919,0.0403,186.836,0.297
69,0.0416,0.341,255600,0.674,5.47e-06,0.345,-7.643,0.0492,88.933,0.452
61,0.504,0.461,168920,0.714,0.0171,0.684,-9.159,0.313,94.372,0.454
53,0.745,0.697,145427,0.676,0.000511,0.263,-5.273,0.0436,119.9529606,0.705
59,0.0312,0.473,312280,0.691,0.00404,0.147,-7.984,0.0248,119.9529606,0.421
58,0.0368,0.53,223400,0.741,0.0,0.402,-3.821,0.0296,75.012,0.424
52,0.00101,0.565,213853,0.905,0.0,0.325,-3.575,0.057,126.011,0.684
59,0.819,0.64,227222,0.196,3.63e-05,0.0978,-11.478,0.0267,143.919,0.301
51,0.035,0.352,-1,0.808,0.0,0.991,-8.097,0.0425,162.096,0.485
69,0.0156,0.711,248640,0.924,0.0,0.114,-3.398,0.0282,108.033,0.912
68,0.461,0.573,142787,0.683,0.0,0.0935,-6.644,0.176,169.519,0.817
76,0.209,0.667,207851,0.798,0.015,0.0972,-5.935,0.0675,114.981,0.485
62,0.006,0.464,213173,0.797,0.000304,0.392,-5.244,0.0333,129.964,0.547
60,0.648,0.443,159394,0.489,0.424,0.131,-6.932,0.0348,124.031,0.0517
58,0.669,0.741,142933,0.363,0.0,0.117,-12.484,0.0335,123.263,0.859
62,0.00025,0.56,221000,0.901,0.134,0.299,-4.481,0.032,132.009,0.807
55,0.238,0.593,204467,0.41,0.587,0.117,-9.722,0.0239,119.9529606,0.27
59,0.395,0.439,-1,0.469,0.573,0.183,-9.283,0.0311,127.44,0.193
69,0.000456,0.412,227440,0.92,0.0026,0.11,-4.852,0.0575,93.162,0.455
50,0.00199,0.612,206107,0.794,0.0,0.0776,-5.857,0.0377,130.025,0.482
57,0.00879,0.433,262867,0.815,0.0,0.138,-3.658,0.0771,125.358,0.461
58,0.0107,0.434,201347,0.75,0.0,0.106,-3.53,0.0293,159.824,0.488
66,0.0661,0.739,194400,0.471,9.78e-05,0.116,-8.456,0.0436,90.002,0.31
